CNPJ_Fundo,Data_Referencia,Versao,Mes_Referencia,Percentual_Rentabilidade_Efetiva_Mes,Percentual_Rentabilidade_Auferida_Ausencia_Garantia
01.201.140/0001-90,2016-12-31,2,12/2016,0.007786,0.0
01.235.622/0001-61,2016-12-31,1,Setembro,0.0109,0.0109
01.235.622/0001-61,2016-12-31,1,Outubro,0.0002,0.0002
01.235.622/0001-61,2016-12-31,1,Novembro,-0.1577,-0.1577
01.497.954/0001-14,2016-12-31,1,12/2016,0.003261,0.0
01.636.325/0001-28,2016-12-31,1,12/2016,0.063714,0.0
01.657.856/0001-05,2016-12-31,1,DEZEMBRO/2016,-0.035118,0.0
04.141.645/0001-03,2016-12-31,1,12/2016,-0.133534,0.0
07.583.627/0001-61,2016-12-31,1,não aplicavel,0.0,0.0
07.789.135/0001-27,2016-12-31,3,,,
10.456.799/0001-89,2016-12-31,1,12/2016,0.00949,0.0
10.456.810/0001-00,2016-12-31,4,12/2016,0.0052,
11.268.335/0001-01,2016-12-31,2,10/2016,0.000245,0.000245
11.268.335/0001-01,2016-12-31,2,11/2016,0.000155,0.000155
11.268.335/0001-01,2016-12-31,2,12/2016,-0.006171,-0.006171
11.281.322/0001-72,2016-12-31,2,10/2016,0.002164,0.002164
11.281.322/0001-72,2016-12-31,2,11/2016,0.002313,0.002313
11.281.322/0001-72,2016-12-31,2,12/2016,-0.179552,-0.179552
12.804.013/0001-00,2016-12-31,1,12/2016,-0.004695,0.0
13.652.006/0001-95,2016-12-31,1,out/16,0.0189,0.0042
13.873.457/0001-52,2016-12-31,1,Out/2016,0.0076262361604688,0.0063054193797755
13.873.457/0001-52,2016-12-31,1,Nov/2016,-0.108564258739891,-0.108785688194433
13.873.457/0001-52,2016-12-31,1,Dez/2016,0.0098382735940579,0.0083989442942738
14.733.211/0001-48,2016-12-31,1,12/2016,-0.017066,0.0
17.161.979/0001-82,2016-12-31,1,12/2016,0.319865,0.0
17.311.079/0001-74,2016-12-31,1,out/2016,-0.0004328508342462,0.0003492699430709
17.311.079/0001-74,2016-12-31,1,nov/2016,9.22965258854399e-06,0.0003329713178696
17.311.079/0001-74,2016-12-31,1,dez/2016,-0.137587678320331,-0.138717295007196
17.374.696/0001-19,2016-12-31,1,dez/2016,-0.0596,-0.0596
17.590.518/0001-25,2016-12-31,2,out/16,0.012723,0.003735
17.590.518/0001-25,2016-12-31,2,nov/16,0.01282,0.003683
17.590.518/0001-25,2016-12-31,2,dez/16,0.01282,0.004478
18.330.535/0001-96,2016-12-31,2,10/2016,0.007588,0.007588
18.330.535/0001-96,2016-12-31,2,11/2016,0.006921,0.006921
18.330.535/0001-96,2016-12-31,2,12/2016,-0.131585,-0.131585
20.216.935/0001-17,2016-12-31,2,10/2016,0.033729,0.033729
20.216.935/0001-17,2016-12-31,2,11/2016,-0.0223785,-0.0223785
20.216.935/0001-17,2016-12-31,2,12/2016,0.022333,0.022333
26.195.121/0001-20,2016-12-31,1,12/2016,-18.19513,0.0
00.332.266/0001-31,2017-12-31,1,12/2017,0.03246,
00.762.723/0001-28,2017-03-31,2,03/2017,0.011287,0.0
00.762.723/0001-28,2017-06-30,2,06/2017,0.010604,
01.235.622/0001-61,2017-03-31,1,Janeiro,-0.33,-0.33
01.235.622/0001-61,2017-03-31,1,Fevereiro,0.0006,0.0006
01.235.622/0001-61,2017-03-31,1,Março,-0.08,-0.08
01.235.622/0001-61,2017-06-30,1,abril/17,0.000885,0.000885
01.235.622/0001-61,2017-06-30,1,maio/17,-0.002637,-0.002637
01.235.622/0001-61,2017-06-30,1,junho/17,0.00182,0.00182
01.235.622/0001-61,2017-09-29,2,julho/17,0.0041,0.0041
01.235.622/0001-61,2017-09-29,2,agosto/17,0.0114,0.0114
01.235.622/0001-61,2017-09-29,2,setembro/17,0.0007,0.0007
01.235.622/0001-61,2017-12-29,2,outubro/17,0.0043,0.0043
01.235.622/0001-61,2017-12-29,2,novembro/17,-0.0322,-0.0322
01.235.622/0001-61,2017-12-29,2,dezembro/17,0.0195,0.0195
01.497.954/0001-14,2017-03-31,1,03/2017,0.00278,0.0
01.497.954/0001-14,2017-06-30,1,06/2017,0.004966,
01.497.954/0001-14,2017-09-30,1,09/2017,0.004184,
01.601.918/0001-59,2017-09-30,1,09/2017,0.006535,
01.601.918/0001-59,2017-12-31,1,09/2017,0.005409,
01.636.325/0001-28,2017-03-31,1,03/2017,0.00462,
01.636.325/0001-28,2017-06-30,1,06/2017,0.008571,0.008571
01.636.325/0001-28,2017-09-30,1,09/2017,0.006828,0.006828
01.636.325/0001-28,2017-12-31,1,12/2017,0.011155,0.011155
01.657.856/0001-05,2017-03-31,1,MARÇO/2017,0.008077,0.0
01.657.856/0001-05,2017-06-30,1,JUNHO/2017,0.007686,0.007686
01.657.856/0001-05,2017-09-30,1,09/2017,0.007617,0.007617
01.657.856/0001-05,2017-12-31,1,12/2017,0.015204,0.015204
02.027.437/0001-44,2017-03-31,1,03/2017,0.005794,
02.027.437/0001-44,2017-06-30,1,06/2017,0.000477,
02.027.437/0001-44,2017-09-30,1,09/2017,0.005472,
02.027.437/0001-44,2017-12-31,1,09/2017,0.004221,
02.508.235/0001-14,2017-09-30,1,09/2017,0.005134,
02.508.235/0001-14,2017-12-31,1,12/2017,0.009329,
03.855.441/0001-63,2017-03-31,1,03/2017,0.040392,
03.855.441/0001-63,2017-06-30,1,06/2017,0.000394,
03.855.441/0001-63,2017-09-30,1,09/2017,0.031008,
03.855.441/0001-63,2017-12-31,1,12/2017,0.036674,
04.141.645/0001-03,2017-03-31,1,03/2017,0.00447,
04.141.645/0001-03,2017-06-30,2,06/2017,0.004629,0.004629
04.141.645/0001-03,2017-09-30,1,09/2017,0.004256,0.004256
04.141.645/0001-03,2017-12-31,1,12/2017,0.004148,0.004148
07.583.627/0001-61,2017-03-31,1,Não Aplicavel,0.0,0.0
07.583.627/0001-61,2017-06-30,1,Não Aplicavel,0.0,0.0
07.583.627/0001-61,2017-09-30,1,Não Aplicavel,0.0,0.0
07.583.627/0001-61,2017-12-31,1,Não Aplicavel,0.0,0.0
08.417.532/0001-30,2017-03-31,1,03/2017,0.002916,
08.417.532/0001-30,2017-06-30,1,06/2017,0.02954,
08.417.532/0001-30,2017-09-30,1,09/2017,0.022066,
08.417.532/0001-30,2017-12-31,1,12/2017,0.078155,
09.350.920/0001-04,2017-09-30,1,09/2017,0.007789,
09.350.920/0001-04,2017-12-31,1,12/2017,0.007752,
10.456.799/0001-89,2017-03-31,1,03/2017,-0.00218,0.0
10.456.799/0001-89,2017-06-30,1,06/2017,0.003664,
10.456.799/0001-89,2017-09-30,1,09/2017,0.01206,
10.456.799/0001-89,2017-12-31,1,12/2017,0.05373,
10.456.810/0001-00,2017-03-31,4,03/2017,0.004823,
10.456.810/0001-00,2017-06-30,4,06/2017,0.003939,
10.456.810/0001-00,2017-09-30,1,09/2017,0.00447,
10.456.810/0001-00,2017-12-31,1,12/2017,0.004211,
11.268.335/0001-01,2017-03-31,2,01/2017,0.0003,0.0003
11.268.335/0001-01,2017-03-31,2,02/2017,0.000615,0.000615
11.268.335/0001-01,2017-03-31,2,03/2017,-0.0001317018486749,-0.0001317018486749
11.268.335/0001-01,2017-06-30,1,04/2017,0.0001,0.0001
11.268.335/0001-01,2017-06-30,1,05/2017,-0.000598,-0.000598
11.268.335/0001-01,2017-06-30,1,06/2017,-0.001347,-0.001347
11.268.335/0001-01,2017-12-29,1,10/2017,0.00108,0.00108
11.268.335/0001-01,2017-12-29,1,11/2017,0.000378,0.000378
11.268.335/0001-01,2017-12-29,1,12/2017,-0.248526,-0.248526
11.281.322/0001-72,2017-03-31,2,01/2017,0.003099,0.003099
11.281.322/0001-72,2017-03-31,2,02/2017,0.002815,0.002815
11.281.322/0001-72,2017-03-31,2,03/2017,0.002658,0.002658
11.281.322/0001-72,2017-06-30,2,04/2017,0.002605,0.002605
11.281.322/0001-72,2017-06-30,2,05/2017,0.00263,0.00263
11.281.322/0001-72,2017-06-30,2,06/2017,-0.002117,-0.002117
11.281.322/0001-72,2017-12-29,1,10/2017,-0.000194,-0.000194
11.281.322/0001-72,2017-12-29,1,11/2017,0.000783,0.000783
11.281.322/0001-72,2017-12-29,1,12/2017,-0.371618,-0.371618
12.804.013/0001-00,2017-03-31,1,03/2017,-0.00188,0.0
12.804.013/0001-00,2017-06-30,1,06/2017,-0.002447,
12.804.013/0001-00,2017-09-30,1,09/2017,-0.00523,
12.804.013/0001-00,2017-12-31,2,12/2017,0.816772,
12.948.291/0001-23,2017-03-31,3,03/2017,0.005585,
12.948.291/0001-23,2017-06-30,3,06/2017,0.006084,
12.948.291/0001-23,2017-09-30,1,09/2017,0.006083,
12.948.291/0001-23,2017-12-31,1,12/2017,0.006262,
13.500.306/0001-59,2017-03-31,4,03/2017,0.006384,
13.500.306/0001-59,2017-06-30,4,06/2017,0.006434,
13.500.306/0001-59,2017-09-30,3,09/2017,-0.005571,
13.500.306/0001-59,2017-12-31,2,12/2017,0.000801,
13.652.006/0001-95,2017-09-29,1,out/16,0.0189,0.0042
13.652.006/0001-95,2017-12-31,1,out/16,0.0189,0.0042
13.873.457/0001-52,2017-03-31,1,Jan/2017,0.0076990071243182,0.0067510599264457
13.873.457/0001-52,2017-03-31,1,Fev/2017,0.0099455113460431,0.0079604049423411
13.873.457/0001-52,2017-03-31,1,Mar/2017,0.0107731799934997,0.0081729991977259
13.873.457/0001-52,2017-06-30,1,abril/2017,0.008801221391936,0.0066807006373435
13.873.457/0001-52,2017-06-30,1,maio/2017,0.0105139188212842,0.0080149633994937
13.873.457/0001-52,2017-06-30,1,junho/2017,0.0095480847193774,0.0071292223250735
13.873.457/0001-52,2017-09-30,1,Jul/2017,0.0118470061654657,0.0068254309736952
13.873.457/0001-52,2017-09-30,1,Ago/2017,0.0098229375087638,0.0069591233204752
13.873.457/0001-52,2017-09-30,1,Set/2017,0.0091932150999182,0.0068250058214634
13.873.457/0001-52,2017-12-31,2,12/2017,0.00824,0.006825
14.733.211/0001-48,2017-03-31,1,03/2017,0.00574,0.0
14.733.211/0001-48,2017-06-30,1,06/2017,0.006335,0.006335
14.733.211/0001-48,2017-09-30,1,09/2017,0.005707,0.005707
14.733.211/0001-48,2017-12-31,1,12/2017,0.011155,0.011155
15.576.907/0001-70,2017-09-30,1,09/2017,0.007095,
15.576.907/0001-70,2017-12-31,2,12/2017,0.006503,
17.098.794/0001-70,2017-09-30,1,09/2017,0.01,0.003575
17.098.794/0001-70,2017-09-30,1,08/2017,0.01,0.00424
17.098.794/0001-70,2017-09-30,1,07/2017,0.01,0.004146
17.098.794/0001-70,2017-12-29,2,12/2017,0.0090090054054054,0.004609620501177
17.098.794/0001-70,2017-12-29,2,11/2017,0.0091786870800749,0.0041151122953939
17.098.794/0001-70,2017-12-29,2,10/2017,0.0099300881792183,0.0032592679045088
17.161.979/0001-82,2017-03-31,1,03/2017,0.00533,
17.161.979/0001-82,2017-06-30,1,06/2017,0.005613,0.005613
17.161.979/0001-82,2017-09-30,2,09/2017,0.005467,0.005467
17.161.979/0001-82,2017-12-31,1,12/2017,0.233073,0.233073
17.311.079/0001-74,2017-03-31,2,jan/2017,,
17.311.079/0001-74,2017-03-31,2,fev/2017,,
17.311.079/0001-74,2017-03-31,2,mar/2017,,
17.311.079/0001-74,2017-06-30,1,abr/2017,,
17.311.079/0001-74,2017-06-30,1,mai/2017,,
17.311.079/0001-74,2017-06-30,1,jun/2017,,
17.311.079/0001-74,2017-09-29,1,jul/2017,,
17.311.079/0001-74,2017-09-29,1,ago/2017,,
17.311.079/0001-74,2017-09-29,1,set/2017,,
17.311.079/0001-74,2017-12-31,1,out/2017,0.010839,-0.000108
17.311.079/0001-74,2017-12-31,1,nov/2017,0.01081,0.000417
17.311.079/0001-74,2017-12-31,1,dez/2017,-0.00934,-0.019562
17.590.518/0001-25,2017-03-31,2,jan/17,0.011905,0.004967
17.590.518/0001-25,2017-03-31,2,fev/17,0.011794,0.006924
17.590.518/0001-25,2017-03-31,2,mar/17,0.011879,0.004266
17.590.518/0001-25,2017-06-30,3,abr/17,0.0124378104477612,0.0047324577191219
17.590.518/0001-25,2017-06-30,3,mai/17,0.0123164838900384,0.0046892370627296
17.590.518/0001-25,2017-06-30,3,jun/17,0.0107526877419355,0.0042761285343523
17.590.518/0001-25,2017-09-30,2,jul/17,0.0103661317742256,0.0041291259973056
17.590.518/0001-25,2017-09-30,2,ago/17,0.010340406171113,0.0042906681789116
17.590.518/0001-25,2017-09-30,2,set/17,0.0099300921508579,0.0036089035877677
17.590.518/0001-25,2017-12-31,4,out/17,0.0091786903844035,0.0033358210054573
17.590.518/0001-25,2017-12-31,4,nov/17,0.0090090086486486,0.0031990167647871
17.590.518/0001-25,2017-12-31,4,dez/17,0.0090226645734084,0.004121348308889
18.330.535/0001-96,2017-03-31,2,01/2017,0.004373,0.004373
18.330.535/0001-96,2017-03-31,2,02/2017,0.003587,0.003587
18.330.535/0001-96,2017-03-31,2,03/2017,0.002668,0.002668
18.330.535/0001-96,2017-06-30,2,04/2017,0.003877,0.003877
18.330.535/0001-96,2017-06-30,2,05/2017,0.005848,0.005848
18.330.535/0001-96,2017-06-30,2,06/2017,0.003333,0.003333
18.330.535/0001-96,2017-12-29,1,10/2017,-0.002545,-0.002545
18.330.535/0001-96,2017-12-29,1,11/2017,0.004535,0.004535
18.330.535/0001-96,2017-12-29,1,12/2017,-0.110803,-0.110803
18.369.510/0001-04,2017-06-30,1,Junho,0.0025,0.0
18.369.510/0001-04,2017-09-29,1,Setembro,0.0013,0.0
18.369.510/0001-04,2017-12-31,1,Setembro,0.0026,0.0026
19.107.604/0001-60,2017-03-31,2,jan/2017,,
19.107.604/0001-60,2017-03-31,2,fev/2017,,
19.107.604/0001-60,2017-03-31,2,mar/2017,,
19.107.604/0001-60,2017-06-30,1,abr/2017,0.0042,-0.00058
19.107.604/0001-60,2017-06-30,1,mai/2017,0.0108,0.0058
19.107.604/0001-60,2017-06-30,1,jun/2017,0.0053,-0.0008
19.107.604/0001-60,2017-09-29,1,Jul/2017,-0.0006,-0.005188
19.107.604/0001-60,2017-09-29,1,ago/2017,0.0072,-0.002238
19.107.604/0001-60,2017-09-29,1,set/2017,0.0064,-0.001636
19.107.604/0001-60,2017-12-29,1,Out/2017,0.0064,-0.001646
19.107.604/0001-60,2017-12-29,1,Nov/2017,0.0088,-0.1299
19.107.604/0001-60,2017-12-29,1,Dez/2017,0.007,-0.1854
20.216.935/0001-17,2017-03-31,2,01/2017,0.044162,0.044162
20.216.935/0001-17,2017-03-31,2,02/2017,0.055521,0.055521
20.216.935/0001-17,2017-03-31,2,03/2017,0.001914,0.001914
20.216.935/0001-17,2017-06-30,1,04/2017,-0.006939,-0.006939
20.216.935/0001-17,2017-06-30,1,05/2017,0.011156,0.011156
20.216.935/0001-17,2017-06-30,1,06/2017,-0.000481,-0.000481
20.216.935/0001-17,2017-12-29,1,10/2017,0.005028,0.005028
20.216.935/0001-17,2017-12-29,1,11/2017,-0.000997,-0.000997
20.216.935/0001-17,2017-12-29,1,12/2017,0.003321,0.003321
26.195.121/0001-20,2017-03-31,1,03/2017,0.0051,0.0
26.195.121/0001-20,2017-06-30,1,06/2017,0.026849,0.026849
26.195.121/0001-20,2017-09-30,1,09/2017,0.212414,0.212414
26.195.121/0001-20,2017-12-31,1,12/2017,0.004748,0.004748
26.990.011/0001-50,2017-06-30,1,06/2017,0.003658,0.003658
26.990.011/0001-50,2017-09-30,1,09/2017,-0.00103,-0.00103
26.990.011/0001-50,2017-12-31,1,12/2017,0.002565,0.002565
28.152.272/0001-26,2017-12-31,3,Não aplicável,0.0,0.0
00.762.723/0001-28,2018-06-30,1,06/2018,0.007941,
00.762.723/0001-28,2018-09-30,1,09/2018,0.007461,
00.762.723/0001-28,2018-12-31,1,12/2018,0.008112,
01.235.622/0001-61,2018-12-31,3,Outubro 2018,0.0061,0.0061
01.235.622/0001-61,2018-12-31,3,Novembro 2018,0.0052,0.0052
01.235.622/0001-61,2018-12-31,3,Dezembro 2018,-0.009,-0.009
01.497.954/0001-14,2018-03-31,1,03/2018,0.002218,0.002218
01.497.954/0001-14,2018-06-30,1,06/2018,0.002289,
01.497.954/0001-14,2018-09-30,1,09/2018,0.001965,
01.497.954/0001-14,2018-12-31,1,12/2018,0.088591,
01.601.918/0001-59,2018-03-31,1,03/2018,0.006658,
01.636.325/0001-28,2018-03-31,1,03/2018,0.00561,0.00561
01.636.325/0001-28,2018-06-30,1,06/2018,0.006857,0.006857
01.636.325/0001-28,2018-09-30,1,09/2018,0.006074,0.006074
01.636.325/0001-28,2018-12-31,1,12/2018,0.159222,0.159222
01.657.856/0001-05,2018-03-31,1,03/2018,0.00214,0.00214
01.657.856/0001-05,2018-06-30,1,06/2018,0.005784,0.005784
01.657.856/0001-05,2018-09-30,1,09/2018,0.006245,0.006245
01.657.856/0001-05,2018-12-31,1,12/2018,0.021037,0.021037
02.027.437/0001-44,2018-03-31,1,03/2018,-0.000186,
02.027.437/0001-44,2018-06-30,1,06/2018,-0.00513,
02.027.437/0001-44,2018-09-30,1,09/2018,0.000269,
02.027.437/0001-44,2018-12-31,1,12/2018,0.001255,
02.508.235/0001-14,2018-03-31,1,03/2018,0.012479,
02.508.235/0001-14,2018-09-30,1,09/2018,0.012534,
02.508.235/0001-14,2018-12-31,1,12/2018,0.011128,
03.855.441/0001-63,2018-03-31,1,03/2018,0.036953,
03.855.441/0001-63,2018-06-30,1,06/2018,-0.017557,
03.855.441/0001-63,2018-09-30,1,09/2018,0.008099,
03.855.441/0001-63,2018-12-31,1,12/2018,-0.022746,
04.141.645/0001-03,2018-03-31,1,03/2018,0.004955,0.004955
04.141.645/0001-03,2018-06-30,2,06/2018,0.004938,0.004938
04.141.645/0001-03,2018-09-30,1,09/2018,0.005754,0.005754
04.141.645/0001-03,2018-12-31,1,12/2018,0.052776,0.052776
07.583.627/0001-61,2018-03-31,1,Não Aplicavel,0.0,0.0
07.583.627/0001-61,2018-06-30,1,Não Aplicavel,0.0,0.0
07.583.627/0001-61,2018-09-30,1,Não Aplicavel,0.0,0.0
07.583.627/0001-61,2018-12-31,1,Não Aplicavel,0.0,0.0
08.417.532/0001-30,2018-03-31,1,03/2018,0.003704,
08.417.532/0001-30,2018-06-30,1,06/2018,0.009394,
08.417.532/0001-30,2018-09-30,1,09/2018,0.018429,
08.417.532/0001-30,2018-12-31,1,12/2018,0.001282,
09.350.920/0001-04,2018-03-31,1,03/2018,0.00784,
10.456.799/0001-89,2018-03-31,1,03/2018,0.003992,
10.456.799/0001-89,2018-06-30,1,06/2018,0.003117,
10.456.799/0001-89,2018-09-30,1,09/2018,0.005441,
10.456.799/0001-89,2018-12-31,1,12/2018,0.224279,
10.456.810/0001-00,2018-03-31,1,03/2018,-9.7e-05,
10.456.810/0001-00,2018-06-30,1,06/2018,0.0014,
10.456.810/0001-00,2018-09-30,1,09/2018,0.003977,
10.456.810/0001-00,2018-12-31,1,12/2018,0.007134,
11.268.335/0001-01,2018-03-29,1,01/2018,0.01246,0.01246
11.268.335/0001-01,2018-03-29,1,02/2018,0.001335,0.001335
11.268.335/0001-01,2018-03-29,1,03/2018,-0.001017,-0.001017
11.268.335/0001-01,2018-06-29,1,04/2018,0.000136,0.000136
11.268.335/0001-01,2018-06-29,1,05/2018,0.007689,0.007689
11.268.335/0001-01,2018-06-29,1,06/2018,-0.063538,-0.063538
11.268.335/0001-01,2018-09-28,1,07/2018,-0.00821,-0.00821
11.268.335/0001-01,2018-09-28,1,08/2018,0.006622,0.006622
11.268.335/0001-01,2018-09-28,1,09/2018,-0.003413,-0.003413
11.268.335/0001-01,2018-12-31,1,10/2018,0.001285,0.001285
11.268.335/0001-01,2018-12-31,1,11/2018,0.001464,0.001464
11.268.335/0001-01,2018-12-31,1,12/2018,0.007329,0.007329
11.281.322/0001-72,2018-03-29,1,01/2018,0.00192,0.00192
11.281.322/0001-72,2018-03-29,1,02/2018,0.001606,0.001606
11.281.322/0001-72,2018-03-29,1,03/2018,0.001757,0.001757
11.281.322/0001-72,2018-06-29,1,04/2018,0.001755,0.001755
11.281.322/0001-72,2018-06-29,1,05/2018,0.001588,0.001588
11.281.322/0001-72,2018-06-29,1,06/2018,0.001822,0.001822
11.281.322/0001-72,2018-09-28,2,07/2018,0.000229,0.000229
11.281.322/0001-72,2018-09-28,2,08/2018,0.002446,0.002446
11.281.322/0001-72,2018-09-28,2,09/2018,-6.3e-05,-6.3e-05
11.281.322/0001-72,2018-12-31,1,10/2018,-0.000122,-0.000122
11.281.322/0001-72,2018-12-31,1,11/2018,0.004466,0.004466
11.281.322/0001-72,2018-12-31,1,12/2018,0.005387,0.005387
12.804.013/0001-00,2018-03-31,1,03/2018,0.002087,0.002087
12.804.013/0001-00,2018-06-30,1,06/2018,0.223465,
12.804.013/0001-00,2018-09-30,1,09/2018,0.001153,
12.804.013/0001-00,2018-12-31,1,12/2018,0.205397,
12.948.291/0001-23,2018-03-31,1,03/2018,0.006245,
13.022.994/0001-99,2018-09-30,1,09/2018,0.005879,
13.022.994/0001-99,2018-12-31,1,12/2018,0.009998,
13.500.306/0001-59,2018-03-31,1,03/2018,0.007145,
13.500.306/0001-59,2018-06-30,1,06/2018,0.007089,
13.652.006/0001-95,2018-03-31,1,out/16,0.0189,0.0042
